log,event_index,offline_ns,online_ns
Period20_procedure_steps_all_additional_event_types.json,289,,19167
Period20_procedure_steps_all_additional_event_types.json,290,,19042
Period20_procedure_steps_all_additional_event_types.json,291,,19416
Period20_procedure_steps_all_additional_event_types.json,292,,19750
Period20_procedure_steps_all_additional_event_types.json,293,,20625
Period20_procedure_steps_all_additional_event_types.json,294,,20042
Period20_procedure_steps_all_additional_event_types.json,295,,19958
Period20_procedure_steps_all_additional_event_types.json,296,,20000
Period20_procedure_steps_all_additional_event_types.json,297,,21583
Period20_procedure_steps_all_additional_event_types.json,298,,20125
Period20_procedure_steps_all_additional_event_types.json,299,,19750
Period20_procedure_steps_all_additional_event_types.json,300,,20709
Period20_procedure_steps_all_additional_event_types.json,301,18967542,63125
Period20_procedure_steps_all_additional_event_types.json,302,,22041
Period20_procedure_steps_all_additional_event_types.json,303,,23625
Period20_procedure_steps_all_additional_event_types.json,304,,23166
Period20_procedure_steps_all_additional_event_types.json,305,,26375
Period20_procedure_steps_all_additional_event_types.json,306,,25333
Period20_procedure_steps_all_additional_event_types.json,307,,22791
Period20_procedure_steps_all_additional_event_types.json,308,,19209
Period20_procedure_steps_all_additional_event_types.json,309,,19084
Period20_procedure_steps_all_additional_event_types.json,310,,20041
Period20_procedure_steps_all_additional_event_types.json,311,,25375
Period20_procedure_steps_all_additional_event_types.json,312,,25292
Period20_procedure_steps_all_additional_event_types.json,313,,29250
Period20_procedure_steps_all_additional_event_types.json,314,,21541
Period20_procedure_steps_all_additional_event_types.json,315,,21959
Period20_procedure_steps_all_additional_event_types.json,316,,21208
Period20_procedure_steps_all_additional_event_types.json,317,,24083
Period20_procedure_steps_all_additional_event_types.json,318,,25666
Period20_procedure_steps_all_additional_event_types.json,319,,24708
Period20_procedure_steps_all_additional_event_types.json,320,,24666
Period20_procedure_steps_all_additional_event_types.json,321,,52875
Period20_procedure_steps_all_additional_event_types.json,322,,25958
Period20_procedure_steps_all_additional_event_types.json,323,,24500
Period20_procedure_steps_all_additional_event_types.json,324,,23667
Period20_procedure_steps_all_additional_event_types.json,325,,26708
Period20_procedure_steps_all_additional_event_types.json,326,,25417
Period20_procedure_steps_all_additional_event_types.json,327,,23750
Period20_procedure_steps_all_additional_event_types.json,328,,25125
Period20_procedure_steps_all_additional_event_types.json,329,,24541
Period20_procedure_steps_all_additional_event_types.json,330,,23833
Period20_procedure_steps_all_additional_event_types.json,331,,24083
Period20_procedure_steps_all_additional_event_types.json,332,,24500
Period20_procedure_steps_all_additional_event_types.json,333,,24500
Period20_procedure_steps_all_additional_event_types.json,334,,23958
Period20_procedure_steps_all_additional_event_types.json,335,,24541
Period20_procedure_steps_all_additional_event_types.json,336,,24084
Period20_procedure_steps_all_additional_event_types.json,337,,23500
Period20_procedure_steps_all_additional_event_types.json,338,,23125
Period20_procedure_steps_all_additional_event_types.json,339,,25917
Period20_procedure_steps_all_additional_event_types.json,340,,24708
Period20_procedure_steps_all_additional_event_types.json,341,,33708
Period20_procedure_steps_all_additional_event_types.json,342,,25250
Period20_procedure_steps_all_additional_event_types.json,343,,24250
Period20_procedure_steps_all_additional_event_types.json,344,,24459
Period20_procedure_steps_all_additional_event_types.json,345,,27875
Period20_procedure_steps_all_additional_event_types.json,346,,23708
Period20_procedure_steps_all_additional_event_types.json,347,,23541
Period20_procedure_steps_all_additional_event_types.json,348,,23417
Period20_procedure_steps_all_additional_event_types.json,349,,23333
Period20_procedure_steps_all_additional_event_types.json,350,,25334
Period20_procedure_steps_all_additional_event_types.json,351,18192333,69750
Period20_procedure_steps_all_additional_event_types.json,352,,29000
Period20_procedure_steps_all_additional_event_types.json,353,,27917
Period20_procedure_steps_all_additional_event_types.json,354,,24875
Period20_procedure_steps_all_additional_event_types.json,355,,23750
Period20_procedure_steps_all_additional_event_types.json,356,,27416
Period20_procedure_steps_all_additional_event_types.json,357,,24250
Period20_procedure_steps_all_additional_event_types.json,358,,25583
Period20_procedure_steps_all_additional_event_types.json,359,,25333
Period20_procedure_steps_all_additional_event_types.json,360,,35333
Period20_procedure_steps_all_additional_event_types.json,361,,26125
Period20_procedure_steps_all_additional_event_types.json,362,,24791
Period20_procedure_steps_all_additional_event_types.json,363,,24583
Period20_procedure_steps_all_additional_event_types.json,364,,23791
Period20_procedure_steps_all_additional_event_types.json,365,,26833
Period20_procedure_steps_all_additional_event_types.json,366,,23500
Period20_procedure_steps_all_additional_event_types.json,367,,23000
Period20_procedure_steps_all_additional_event_types.json,368,,23541
Period20_procedure_steps_all_additional_event_types.json,369,,23708
Period20_procedure_steps_all_additional_event_types.json,370,,23333
Period20_procedure_steps_all_additional_event_types.json,371,,26792
Period20_procedure_steps_all_additional_event_types.json,372,,23500
Period20_procedure_steps_all_additional_event_types.json,373,,23375
Period20_procedure_steps_all_additional_event_types.json,374,,23167
Period20_procedure_steps_all_additional_event_types.json,375,,23542
Period20_procedure_steps_all_additional_event_types.json,376,,23625
Period20_procedure_steps_all_additional_event_types.json,377,,23084
Period20_procedure_steps_all_additional_event_types.json,378,,23667
Period20_procedure_steps_all_additional_event_types.json,379,,23542
Period20_procedure_steps_all_additional_event_types.json,380,,22792
Period20_procedure_steps_all_additional_event_types.json,381,,23167
Period20_procedure_steps_all_additional_event_types.json,382,,23875
Period20_procedure_steps_all_additional_event_types.json,383,,24208
Period20_procedure_steps_all_additional_event_types.json,384,,23667
Period20_procedure_steps_all_additional_event_types.json,385,,23167
Period20_procedure_steps_all_additional_event_types.json,386,,23375
Period20_procedure_steps_all_additional_event_types.json,387,,23917
Period20_procedure_steps_all_additional_event_types.json,388,,23500
Period20_procedure_steps_all_additional_event_types.json,389,,24458
Period20_procedure_steps_all_additional_event_types.json,390,,24834
Period20_procedure_steps_all_additional_event_types.json,391,,24250
Period20_procedure_steps_all_additional_event_types.json,392,,30875
