log,total_events,max_inactive,min_inactive,ratio,total_mem_bytes,div_mem_bytes,seen_mem_bytes,active_objs,fitness,precision,f1_score,duration_ms
logistics.json,35413,3541,177,0.0500,3445599,1109248,48,1370,1.0000,0.9442,0.9713,1452
logistics.json,35413,3541,354,0.1000,3409311,1073984,48,1373,1.0000,0.9442,0.9713,1356
logistics.json,35413,3541,708,0.1999,3427295,1088768,48,1380,1.0000,0.9442,0.9713,1176
logistics.json,35413,3541,1771,0.5001,3402639,1068928,48,1404,1.0000,0.9442,0.9713,727
logistics.json,35413,3541,2833,0.8001,3455599,1122880,48,1447,1.0000,0.9442,0.9713,307
logistics.json,35413,3541,3541,1.0000,3441759,1104576,48,1458,1.0000,0.9442,0.9713,31
logistics.json,35413,7083,0,0.0000,4740399,2164800,48,2653,1.0000,0.9442,0.9713,2764
logistics.json,35413,7083,354,0.0500,4790399,2218432,48,2662,1.0000,0.9442,0.9713,2546
logistics.json,35413,7083,708,0.1000,4736751,2163648,48,2676,1.0000,0.9442,0.9713,2381
logistics.json,35413,7083,1417,0.2001,4755487,2179776,48,2686,1.0000,0.9442,0.9713,2091
logistics.json,35413,7083,3542,0.5001,4754767,2185344,48,2739,1.0000,0.9442,0.9713,1299
logistics.json,35413,7083,5666,0.7999,4754479,2184448,48,2786,1.0000,0.9442,0.9713,526
logistics.json,35413,7083,7083,1.0000,4754607,2184000,48,2844,1.0000,0.9442,0.9713,31
logistics.json,35413,17707,0,0.0000,6829727,3788160,48,6554,1.0000,0.9442,0.9713,4718
logistics.json,35413,17707,885,0.0500,6832687,3791808,48,6579,1.0000,0.9442,0.9713,4363
logistics.json,35413,17707,1771,0.1000,6832607,3790592,48,6599,1.0000,0.9442,0.9713,4080
logistics.json,35413,17707,3541,0.2000,6827887,3785600,48,6654,1.0000,0.9442,0.9713,3573
logistics.json,35413,17707,8854,0.5000,6838751,3795840,48,6773,1.0000,0.9442,0.9713,2141
logistics.json,35413,17707,14166,0.8000,6828367,3786752,48,6909,1.0000,0.9442,0.9713,838
logistics.json,35413,17707,17707,1.0000,6836351,3790912,48,6991,1.0000,0.9442,0.9713,30
logistics.json,35413,35413,35413,1.0000,11638207,8315648,48,13882,1.0000,0.9442,0.9713,28
lrmsCollection.json,28278,0,0,0.0000,2130123,240,48,2,0.4649,0.3884,0.4233,21
lrmsCollection.json,28278,28,0,0.0000,2146771,13272,48,13,0.6108,1.0000,0.7584,37
lrmsCollection.json,28278,28,1,0.0357,2146723,13336,48,13,0.6108,1.0000,0.7584,35
lrmsCollection.json,28278,28,3,0.1071,2145875,13208,48,13,0.6108,1.0000,0.7584,34
lrmsCollection.json,28278,28,6,0.2143,2145875,13720,48,13,0.6108,1.0000,0.7584,32
lrmsCollection.json,28278,28,14,0.5000,2146307,13080,48,13,0.6108,1.0000,0.7584,29
lrmsCollection.json,28278,28,22,0.7857,2145603,13208,48,13,0.6108,1.0000,0.7584,25
lrmsCollection.json,28278,28,28,1.0000,2146563,13720,48,13,0.6108,1.0000,0.7584,22
lrmsCollection.json,28278,141,0,0.0000,2203311,61400,48,66,0.5163,0.7687,0.6177,86
lrmsCollection.json,28278,141,7,0.0496,2200783,60568,48,66,0.5163,0.7687,0.6177,82
lrmsCollection.json,28278,141,14,0.0993,2204959,63448,48,67,0.5163,0.7687,0.6177,79
lrmsCollection.json,28278,141,28,0.1986,2200175,62104,48,67,0.5163,0.7687,0.6177,74
lrmsCollection.json,28278,141,71,0.5035,2206319,63448,48,67,0.5163,0.7687,0.6177,54
lrmsCollection.json,28278,141,113,0.8014,2199823,62360,48,67,0.5163,0.7687,0.6177,35
lrmsCollection.json,28278,141,141,1.0000,2204847,61528,48,70,0.5163,0.7687,0.6177,23
lrmsCollection.json,28278,283,0,0.0000,2261127,109776,48,120,0.5163,0.7687,0.6177,151
lrmsCollection.json,28278,283,14,0.0495,2260359,107920,48,120,0.5163,0.7687,0.6177,143
lrmsCollection.json,28278,283,28,0.0989,2249895,106320,48,120,0.5163,0.7687,0.6177,137
lrmsCollection.json,28278,283,57,0.2014,2254983,108944,48,120,0.5163,0.7687,0.6177,125
lrmsCollection.json,28278,283,142,0.5018,2260247,113872,48,126,0.5163,0.7687,0.6177,85
lrmsCollection.json,28278,283,226,0.7986,2263111,110032,48,126,0.5163,0.7687,0.6177,48
lrmsCollection.json,28278,283,283,1.0000,2265767,114320,48,130,0.5163,0.7687,0.6177,24
lrmsCollection.json,28278,1414,0,0.0000,2643843,454376,48,604,0.7333,0.8121,0.7707,611
lrmsCollection.json,28278,1414,71,0.0502,2668323,474472,48,606,0.7333,0.8121,0.7707,584
lrmsCollection.json,28278,1414,141,0.0997,2645043,451560,48,606,0.7333,0.8121,0.7707,569
lrmsCollection.json,28278,1414,283,0.2001,2647011,452520,48,610,0.7333,0.8121,0.7707,485
lrmsCollection.json,28278,1414,707,0.5000,2674211,473448,48,617,0.7333,0.8121,0.7707,307
lrmsCollection.json,28278,1414,1131,0.7999,2639475,445416,48,627,0.7333,0.8121,0.7707,135
lrmsCollection.json,28278,1414,1414,1.0000,2661507,468904,48,630,0.7333,0.8121,0.7707,25
lrmsCollection.json,28278,2828,0,0.0000,3193175,874912,48,1191,1.0000,1.0000,1.0000,1093
lrmsCollection.json,28278,2828,141,0.0499,3188359,869536,48,1191,1.0000,1.0000,1.0000,1030
lrmsCollection.json,28278,2828,283,0.1001,3212279,896928,48,1195,1.0000,1.0000,1.0000,963
lrmsCollection.json,28278,2828,566,0.2001,3181527,860896,48,1196,1.0000,1.0000,1.0000,853
lrmsCollection.json,28278,2828,1414,0.5000,3187095,869984,48,1208,1.0000,1.0000,1.0000,518
lrmsCollection.json,28278,2828,2262,0.7999,3214647,899424,48,1222,1.0000,1.0000,1.0000,214
lrmsCollection.json,28278,2828,2828,1.0000,3178311,863072,48,1228,1.0000,1.0000,1.0000,25
lrmsCollection.json,28278,5656,0,0.0000,4521831,1977824,48,2185,1.0000,1.0000,1.0000,1830
lrmsCollection.json,28278,5656,283,0.0500,4508023,1963808,48,2190,1.0000,1.0000,1.0000,1715
lrmsCollection.json,28278,5656,566,0.1001,4518727,1975136,48,2196,1.0000,1.0000,1.0000,1606
lrmsCollection.json,28278,5656,1131,0.2000,4526983,1982240,48,2202,1.0000,1.0000,1.0000,1391
lrmsCollection.json,28278,5656,2828,0.5000,4525815,1981536,48,2222,1.0000,1.0000,1.0000,852
lrmsCollection.json,28278,5656,4525,0.8000,4510551,1967072,48,2239,1.0000,1.0000,1.0000,325
lrmsCollection.json,28278,5656,5656,1.0000,4506711,1961504,48,2250,1.0000,1.0000,1.0000,26
lrmsCollection.json,28278,14139,0,0.0000,7131511,4571680,48,4723,1.0000,1.0000,1.0000,2803
lrmsCollection.json,28278,14139,707,0.0500,7137559,4579424,48,4729,1.0000,1.0000,1.0000,2591
lrmsCollection.json,28278,14139,1414,0.1000,7137863,4576672,48,4733,1.0000,1.0000,1.0000,2546
lrmsCollection.json,28278,14139,2828,0.2000,7125959,4563680,48,4749,1.0000,1.0000,1.0000,2036
lrmsCollection.json,28278,14139,7070,0.5000,7132295,4568352,48,4796,1.0000,1.0000,1.0000,1153
lrmsCollection.json,28278,14139,11311,0.8000,7142647,4576672,48,4841,1.0000,1.0000,1.0000,438
lrmsCollection.json,28278,14139,14139,1.0000,7129367,4562528,48,4866,1.0000,1.0000,1.0000,26
lrmsCollection.json,28278,28278,28278,1.0000,11824023,8723360,48,8819,1.0000,1.0000,1.0000,24
order-management.json,21008,0,0,0.0000,2109243,496,48,11,0.1610,0.9207,0.2741,48
order-management.json,21008,21,0,0.0000,2148091,22552,48,55,0.6112,0.9846,0.7542,109
order-management.json,21008,21,1,0.0476,2144123,22936,48,55,0.6112,0.9846,0.7542,104
order-management.json,21008,21,2,0.0952,2137995,22552,48,55,0.6112,0.9846,0.7542,103
order-management.json,21008,21,4,0.1905,2145739,18264,48,55,0.6112,0.9846,0.7542,92
order-management.json,21008,21,11,0.5238,2144827,20568,48,55,0.6112,0.9846,0.7542,69
order-management.json,21008,21,17,0.8095,2145403,21848,48,55,0.6112,0.9846,0.7542,53
order-management.json,21008,21,21,1.0000,2135163,21784,48,63,0.6112,0.9846,0.7542,46
order-management.json,21008,105,0,0.0000,2195759,59888,48,223,0.7400,0.9861,0.8455,235
order-management.json,21008,105,5,0.0476,2200943,64368,48,223,0.7400,0.9861,0.8455,213
order-management.json,21008,105,11,0.1048,2194895,58288,48,223,0.7400,0.9861,0.8455,197
order-management.json,21008,105,21,0.2000,2191471,58224,48,223,0.7400,0.9861,0.8455,167
order-management.json,21008,105,53,0.5048,2194095,59056,48,226,0.7400,0.9861,0.8455,107
order-management.json,21008,105,84,0.8000,2192927,61488,48,227,0.7400,0.9861,0.8455,66
order-management.json,21008,105,105,1.0000,2202319,65520,48,230,0.7400,0.9861,0.8455,44
